DESCRIPTION,INCIDENT-NUMBER,LOCATION,AGENCY,DATE,LONGITUDE,LATITUDE
AGGRAVATED ASSAULT-GUN,20211101-1433-01,600 MCCULLOUGH DR,Charlotte-Mecklenburg Police,11-1-2021 2:33 PM,-80.7567,35.30443
VANDALISM,20211101-1428-01,1600 ARLYN CR,Charlotte-Mecklenburg Police,11-1-2021 2:28 PM,-80.7252,35.30184
RESIDENTIAL BURGLARY,20211101-1341-00,9600 ASHLEY LAKE CT,Charlotte-Mecklenburg Police,11-1-2021 1:41 PM,-80.74475,35.32157
NON-AGGRAVATED ASSAULT,20211101-1331-00,500 SOLANO DR,Charlotte-Mecklenburg Police,11-1-2021 1:31 PM,-80.73888,35.3259
SUSPICIOUS VEHICLE,V1101132301,W W T HARRIS BV & J W CLAY BV,Charlotte-Mecklenburg Police,11-1-2021 1:23 PM,-80.80217,35.33251
NON-AGGRAVATED ASSAULT,20211101-1142-02,8900 N TRYON ST,Charlotte-Mecklenburg Police,11-1-2021 11:42 AM,-80.74699,35.30872
LARCENY-OTHER,20211101-1142-00,2800 OLD IRONSIDE DR,Charlotte-Mecklenburg Police,11-1-2021 11:42 AM,-80.73804,35.28511
LARCENY FROM AUTO,20211101-1041-00,8100 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,11-1-2021 10:41 AM,-80.7487,35.29319
SUSPICIOUS VEHICLE,V1101081400,9600 VINCA CR,Charlotte-Mecklenburg Police,11-1-2021 8:14 AM,-80.72545,35.29976
LARCENY FROM AUTO,20211101-0747-01,200 NORTHBEND DR,Charlotte-Mecklenburg Police,11-1-2021 7:47 AM,-80.72873,35.32885
LARCENY-OTHER,20211101-0734-03,3100 OLD IRONSIDE DR,Charlotte-Mecklenburg Police,11-1-2021 7:34 AM,-80.73769,35.28674
LARCENY FROM AUTO,20211101-0519-00,11100 HYDE POINTE CT,Charlotte-Mecklenburg Police,11-1-2021 5:19 AM,-80.73589,35.3299
SUSPICIOUS PERSON,V1101045100,8500 DAHLIA DR,Charlotte-Mecklenburg Police,11-1-2021 4:51 AM,-80.73588,35.29361
SUSPICIOUS PERSON,V1101021401,1800 WEXFORD MEADOWS LN,Charlotte-Mecklenburg Police,11-1-2021 2:14 AM,-80.70326,35.31424
POSSESSION OF MARIJUANA,20211101-0027-00,9500 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,11-1-2021 12:27 AM,-80.72407,35.30576
SUSPICIOUS PERSON,V1031234903,1700 MARLYNN DR,Charlotte-Mecklenburg Police,10-31-2021 11:49 PM,-80.7181,35.30987
LARCENY-OTHER,20211031-2230-05,300 W ROCKY RIVER RD,Charlotte-Mecklenburg Police,10-31-2021 10:30 PM,-80.75526,35.28743
SUSPICIOUS PERSON,V1031220101,500 BARTON CREEK DR,Charlotte-Mecklenburg Police,10-31-2021 10:01 PM,-80.74475,35.31745
LARCENY FROM AUTO,20211031-1856-01,9900 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-31-2021 6:56 PM,-80.71793,35.30887
RESIDENTIAL BURGLARY,20211031-1421-05,900 CHUCK WAGON CT,Charlotte-Mecklenburg Police,10-31-2021 2:21 PM,-80.72074,35.31466
LARCENY FROM AUTO,20211031-1348-00,8600 J M KEYNES DR,Charlotte-Mecklenburg Police,10-31-2021 1:48 PM,-80.75312,35.31003
VANDALISM,20211031-0934-00,17700 HALTON PARK DR,Charlotte-Mecklenburg Police,10-31-2021 9:34 AM,-80.70501,35.31414
LARCENY FROM AUTO,20211031-0715-00,9100 AVEBURY DR,Charlotte-Mecklenburg Police,10-31-2021 7:15 AM,-80.72482,35.28863
POSSESSION OF DANGEROUS NON-NARCOTIC,20211031-0414-00,100 E MCCULLOUGH DR,Charlotte-Mecklenburg Police,10-31-2021 4:14 AM,-80.75483,35.30098
SUSPICIOUS PERSON,V1031014800,1800 WEXFORD MEADOWS LN,Charlotte-Mecklenburg Police,10-31-2021 1:48 AM,-80.70326,35.31424
LARCENY FROM BUILDING,20211030-2123-01,800 TIGER LN,Charlotte-Mecklenburg Police,10-30-2021 9:23 PM,-80.73431,35.33041
LARCENY-OTHER,20211030-2040-04,800 TIGER LN,Charlotte-Mecklenburg Police,10-30-2021 8:40 PM,-80.73431,35.33041
FRAUD,20211030-1953-00,10200 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-30-2021 7:53 PM,-80.71294,35.3108
LARCENY-SHOPLIFTING,20211030-1945-02,8100 IKEA BV,Charlotte-Mecklenburg Police,10-30-2021 7:45 PM,-80.76143,35.29738
LARCENY-SHOPLIFTING,20211030-1902-01,9300 N TRYON ST,Charlotte-Mecklenburg Police,10-30-2021 7:02 PM,-80.74024,35.31264
LARCENY-SHOPLIFTING,20211030-1803-02,8100 IKEA BV,Charlotte-Mecklenburg Police,10-30-2021 6:03 PM,-80.76143,35.29738
SUSPICIOUS PERSON,V1030175501,7700 N TRYON ST,Charlotte-Mecklenburg Police,10-30-2021 5:55 PM,-80.75589,35.29239
LARCENY-SHOPLIFTING,20211030-1751-02,8100 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-30-2021 5:51 PM,-80.7487,35.29319
LARCENY-SHOPLIFTING,20211030-1707-01,8300 IKEA BV,Charlotte-Mecklenburg Police,10-30-2021 5:07 PM,-80.76418,35.29309
POSSESSION OF MARIJUANA,20211030-1649-00,1000 JOHN KIRK DR,Charlotte-Mecklenburg Police,10-30-2021 4:49 PM,-80.72438,35.31358
AGGRAVATED ASSAULT-KNIFE,20211030-1648-00,9800 GLANWORTH CT,Charlotte-Mecklenburg Police,10-30-2021 4:48 PM,-80.71671,35.30464
SUSPICIOUS PERSON,V1030140102,8800 J W CLAY BV,Charlotte-Mecklenburg Police,10-30-2021 2:01 PM,-80.75277,35.31068
LARCENY-SHOPLIFTING,20211030-1401-02,8800 J W CLAY BV,Charlotte-Mecklenburg Police,10-30-2021 2:01 PM,-80.75277,35.31068
LARCENY-SHOPLIFTING,20211030-1306-02,7700 N TRYON ST,Charlotte-Mecklenburg Police,10-30-2021 1:06 PM,-80.75589,35.29239
LARCENY FROM AUTO,20211030-1008-00,10000 DABNEY DR,Charlotte-Mecklenburg Police,10-30-2021 10:08 AM,-80.71866,35.31258
AGGRAVATED ASSAULT-GUN,20211030-0328-01,9600 VINCA CR,Charlotte-Mecklenburg Police,10-30-2021 3:28 AM,-80.72545,35.29976
HOMICIDE,20211030-0006-04,8200 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-30-2021 12:06 AM,-80.74629,35.29428
NON-AGGRAVATED ASSAULT,20211029-2118-02,1300 KILLASHEE CT,Charlotte-Mecklenburg Police,10-29-2021 9:18 PM,-80.72022,35.30581
TRESPASS,20211029-1820-01,8900 J M KEYNES DR,Charlotte-Mecklenburg Police,10-29-2021 6:20 PM,-80.74828,35.30854
COUNTERFEITING,20211029-1745-00,1900 BACK CREEK DR,Charlotte-Mecklenburg Police,10-29-2021 5:45 PM,-80.72526,35.28278
LARCENY-SHOPLIFTING,20211029-1326-02,8300 IKEA BV,Charlotte-Mecklenburg Police,10-29-2021 1:26 PM,-80.76418,35.29309
POSSESSION OF MARIJUANA,20211029-1325-01,100 E MCCULLOUGH DR,Charlotte-Mecklenburg Police,10-29-2021 1:25 PM,-80.75483,35.30098
LARCENY-SHOPLIFTING,20211029-1318-02,8500 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-29-2021 1:18 PM,-80.74024,35.29524
NON-AGGRAVATED ASSAULT,20211029-1216-02,9800 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-29-2021 12:16 PM,-80.72019,35.30827
LARCENY FROM AUTO,20211029-1145-00,17900 HALTON PARK DR,Charlotte-Mecklenburg Police,10-29-2021 11:45 AM,-80.70825,35.31641
