DESCRIPTION,INCIDENT-NUMBER,LOCATION,AGENCY,DATE
SUSPICIOUS VEHICLE,V1101132301,W W T HARRIS BV & J W CLAY BV,Charlotte-Mecklenburg Police,11-1-2021 1:23 PM
NON-AGGRAVATED ASSAULT,20211101-1142-02,8900 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,11-1-2021 11:42 AM
LARCENY-OTHER,20211101-1142-00,2800 BLOCK OLD IRONSIDE DR,Charlotte-Mecklenburg Police,11-1-2021 11:42 AM
LARCENY FROM AUTO,20211101-1041-00,8100 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,11-1-2021 10:41 AM
SUSPICIOUS VEHICLE,V1101081400,9600 BLOCK VINCA CR,Charlotte-Mecklenburg Police,11-1-2021 8:14 AM
LARCENY FROM AUTO,20211101-0747-01,200 BLOCK NORTHBEND DR,Charlotte-Mecklenburg Police,11-1-2021 7:47 AM
LARCENY-OTHER,20211101-0734-03,3100 BLOCK OLD IRONSIDE DR,Charlotte-Mecklenburg Police,11-1-2021 7:34 AM
LARCENY FROM AUTO,20211101-0519-00,11100 BLOCK HYDE POINTE CT,Charlotte-Mecklenburg Police,11-1-2021 5:19 AM
SUSPICIOUS PERSON,V1101045100,8500 BLOCK DAHLIA DR,Charlotte-Mecklenburg Police,11-1-2021 4:51 AM
SUSPICIOUS PERSON,V1101021401,1800 BLOCK WEXFORD MEADOWS LN,Charlotte-Mecklenburg Police,11-1-2021 2:14 AM
POSSESSION OF MARIJUANA,20211101-0027-00,9500 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,11-1-2021 12:27 AM
SUSPICIOUS PERSON,V1031234903,1700 BLOCK MARLYNN DR,Charlotte-Mecklenburg Police,10-31-2021 11:49 PM
LARCENY-OTHER,20211031-2230-05,300 BLOCK W ROCKY RIVER RD,Charlotte-Mecklenburg Police,10-31-2021 10:30 PM
SUSPICIOUS PERSON,V1031220101,500 BLOCK BARTON CREEK DR,Charlotte-Mecklenburg Police,10-31-2021 10:01 PM
LARCENY FROM AUTO,20211031-1856-01,9900 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-31-2021 6:56 PM
RESIDENTIAL BURGLARY,20211031-1421-05,900 BLOCK CHUCK WAGON CT,Charlotte-Mecklenburg Police,10-31-2021 2:21 PM
LARCENY FROM AUTO,20211031-1348-00,8600 BLOCK J M KEYNES DR,Charlotte-Mecklenburg Police,10-31-2021 1:48 PM
VANDALISM,20211031-0934-00,17700 BLOCK HALTON PARK DR,Charlotte-Mecklenburg Police,10-31-2021 9:34 AM
LARCENY FROM AUTO,20211031-0715-00,9100 BLOCK AVEBURY DR,Charlotte-Mecklenburg Police,10-31-2021 7:15 AM
POSSESSION OF DANGEROUS NON-NARCOTIC,20211031-0414-00,100 BLOCK E MCCULLOUGH DR,Charlotte-Mecklenburg Police,10-31-2021 4:14 AM
SUSPICIOUS PERSON,V1031014800,1800 BLOCK WEXFORD MEADOWS LN,Charlotte-Mecklenburg Police,10-31-2021 1:48 AM
LARCENY FROM BUILDING,20211030-2123-01,800 BLOCK TIGER LN,Charlotte-Mecklenburg Police,10-30-2021 9:23 PM
LARCENY-OTHER,20211030-2040-04,800 BLOCK TIGER LN,Charlotte-Mecklenburg Police,10-30-2021 8:40 PM
FRAUD,20211030-1953-00,10200 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-30-2021 7:53 PM
LARCENY-SHOPLIFTING,20211030-1945-02,8100 BLOCK IKEA BV,Charlotte-Mecklenburg Police,10-30-2021 7:45 PM
LARCENY-SHOPLIFTING,20211030-1902-01,9300 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-30-2021 7:02 PM
LARCENY-SHOPLIFTING,20211030-1803-02,8100 BLOCK IKEA BV,Charlotte-Mecklenburg Police,10-30-2021 6:03 PM
SUSPICIOUS PERSON,V1030175501,7700 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-30-2021 5:55 PM
LARCENY-SHOPLIFTING,20211030-1751-02,8100 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-30-2021 5:51 PM
LARCENY-SHOPLIFTING,20211030-1707-01,8300 BLOCK IKEA BV,Charlotte-Mecklenburg Police,10-30-2021 5:07 PM
POSSESSION OF MARIJUANA,20211030-1649-00,1000 BLOCK JOHN KIRK DR,Charlotte-Mecklenburg Police,10-30-2021 4:49 PM
AGGRAVATED ASSAULT-KNIFE,20211030-1648-00,9800 BLOCK GLANWORTH CT,Charlotte-Mecklenburg Police,10-30-2021 4:48 PM
SUSPICIOUS PERSON,V1030140102,8800 BLOCK J W CLAY BV,Charlotte-Mecklenburg Police,10-30-2021 2:01 PM
LARCENY-SHOPLIFTING,20211030-1401-02,8800 BLOCK J W CLAY BV,Charlotte-Mecklenburg Police,10-30-2021 2:01 PM
LARCENY-SHOPLIFTING,20211030-1306-02,7700 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-30-2021 1:06 PM
LARCENY FROM AUTO,20211030-1008-00,10000 BLOCK DABNEY DR,Charlotte-Mecklenburg Police,10-30-2021 10:08 AM
AGGRAVATED ASSAULT-GUN,20211030-0328-01,9600 BLOCK VINCA CR,Charlotte-Mecklenburg Police,10-30-2021 3:28 AM
HOMICIDE,20211030-0006-04,8200 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-30-2021 12:06 AM
NON-AGGRAVATED ASSAULT,20211029-2118-02,1300 BLOCK KILLASHEE CT,Charlotte-Mecklenburg Police,10-29-2021 9:18 PM
TRESPASS,20211029-1820-01,8900 BLOCK J M KEYNES DR,Charlotte-Mecklenburg Police,10-29-2021 6:20 PM
COUNTERFEITING,20211029-1745-00,1900 BLOCK BACK CREEK DR,Charlotte-Mecklenburg Police,10-29-2021 5:45 PM
LARCENY-SHOPLIFTING,20211029-1326-02,8300 BLOCK IKEA BV,Charlotte-Mecklenburg Police,10-29-2021 1:26 PM
POSSESSION OF MARIJUANA,20211029-1325-01,100 BLOCK E MCCULLOUGH DR,Charlotte-Mecklenburg Police,10-29-2021 1:25 PM
LARCENY-SHOPLIFTING,20211029-1318-02,8500 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-29-2021 1:18 PM
NON-AGGRAVATED ASSAULT,20211029-1216-02,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-29-2021 12:16 PM
LARCENY FROM AUTO,20211029-1145-00,17900 BLOCK HALTON PARK DR,Charlotte-Mecklenburg Police,10-29-2021 11:45 AM
SUSPICIOUS PERSON,V1029113404,2700 BLOCK BILLINGS PARK DR,Charlotte-Mecklenburg Police,10-29-2021 11:34 AM
TRESPASS,20211029-1122-02,9500 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-29-2021 11:22 AM
LARCENY-OTHER,20211029-0730-05,400 BLOCK WALDEN STATION DR,Charlotte-Mecklenburg Police,10-29-2021 7:30 AM
LARCENY-OTHER,20211029-0715-04,8300 BLOCK PACES OAKS BV,Charlotte-Mecklenburg Police,10-29-2021 7:15 AM
LARCENY FROM AUTO,20211029-0620-00,1900 BLOCK WINSTED CT,Charlotte-Mecklenburg Police,10-29-2021 6:20 AM
SUSPICIOUS VEHICLE,V1028215002,9600 BLOCK VINCA CR,Charlotte-Mecklenburg Police,10-28-2021 9:50 PM
FRAUD,20211028-2059-00,7700 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-28-2021 8:59 PM
LARCENY-OTHER,20211028-1824-03,900 BLOCK E W T HARRIS BV,Charlotte-Mecklenburg Police,10-28-2021 6:24 PM
LARCENY-OTHER,20211028-1639-02,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-28-2021 4:39 PM
LARCENY-SHOPLIFTING,20211028-1548-02,200 BLOCK STETSON DR,Charlotte-Mecklenburg Police,10-28-2021 3:48 PM
LARCENY FROM AUTO,20211028-1523-02,9400 BLOCK BONITA LN,Charlotte-Mecklenburg Police,10-28-2021 3:23 PM
FRAUD,20211028-1458-03,8400 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-28-2021 2:58 PM
LARCENY FROM AUTO,20211028-1252-02,8500 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-28-2021 12:52 PM
LARCENY FROM AUTO,20211028-0954-04,9800 BLOCK CAMPUS WALK LN,Charlotte-Mecklenburg Police,10-28-2021 9:54 AM
FRAUD,20211028-0935-04,400 BLOCK BERKELEY HILL DR,Charlotte-Mecklenburg Police,10-28-2021 9:35 AM
SUSPICIOUS PERSON,V1028034803,1700 BLOCK PERGOLA PL,Charlotte-Mecklenburg Police,10-28-2021 3:48 AM
LARCENY-OTHER,20211028-0236-00,7800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-28-2021 2:36 AM
SUSPICIOUS VEHICLE,V1028020401,300 BLOCK E MCCULLOUGH DR,Charlotte-Mecklenburg Police,10-28-2021 2:04 AM
LARCENY FROM AUTO,20211027-1909-00,8900 BLOCK AVEBURY DR,Charlotte-Mecklenburg Police,10-27-2021 7:09 PM
NON-AGGRAVATED ASSAULT,20211027-1838-00,9600 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-27-2021 6:38 PM
NON-AGGRAVATED ASSAULT,20211027-1827-00,9500 BLOCK SHANNON GREEN DR,Charlotte-Mecklenburg Police,10-27-2021 6:27 PM
LARCENY-OTHER,20211027-1823-00,9000 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-27-2021 6:23 PM
LARCENY FROM BUILDING,20211027-1705-06,8600 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-27-2021 5:05 PM
LARCENY-OTHER,20211027-1650-02,10800 BLOCK DERRYRUSH DR,Charlotte-Mecklenburg Police,10-27-2021 4:50 PM
FRAUD,20211027-1517-01,8200 BLOCK IKEA BV,Charlotte-Mecklenburg Police,10-27-2021 3:17 PM
NON-AGGRAVATED ASSAULT,20211027-1515-01,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-27-2021 3:15 PM
LARCENY-OTHER,20211027-1412-02,9200 BLOCK AMY DR,Charlotte-Mecklenburg Police,10-27-2021 2:12 PM
RESIDENTIAL BURGLARY,20211027-1330-03,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-27-2021 1:30 PM
NON-AGGRAVATED ASSAULT,20211027-1212-03,8800 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-27-2021 12:12 PM
FORGERY,20211027-0914-03,8700 BLOCK J M KEYNES DR,Charlotte-Mecklenburg Police,10-27-2021 9:14 AM
SUSPICIOUS VEHICLE,V1027090803,8300 BLOCK IKEA BV,Charlotte-Mecklenburg Police,10-27-2021 9:08 AM
SUSPICIOUS VEHICLE,V1027084402,8400 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-27-2021 8:44 AM
NON-AGGRAVATED ASSAULT,20211026-2305-00,1200 BLOCK REBECCA BAILEY DR,Charlotte-Mecklenburg Police,10-26-2021 11:05 PM
LARCENY FROM AUTO,20211026-1742-02,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-26-2021 5:42 PM
SUSPICIOUS VEHICLE,V1026164502,100 BLOCK E MCCULLOUGH DR,Charlotte-Mecklenburg Police,10-26-2021 4:45 PM
LARCENY-OTHER,20211026-1556-01,8000 BLOCK PIKE RD,Charlotte-Mecklenburg Police,10-26-2021 3:56 PM
LARCENY-OTHER,20211026-1540-01,900 BLOCK CHUCK WAGON CT,Charlotte-Mecklenburg Police,10-26-2021 3:40 PM
NON-AGGRAVATED ASSAULT,20211026-1416-05,7800 BLOCK IBM DR,Charlotte-Mecklenburg Police,10-26-2021 2:16 PM
AGGRAVATED ASSAULT-GUN,20211026-0817-05,1200 BLOCK REBECCA BAILEY DR,Charlotte-Mecklenburg Police,10-26-2021 8:17 AM
SUSPICIOUS PERSON,V1026080000,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-26-2021 8:00 AM
SUSPICIOUS PERSON,V1025224501,1600 BLOCK JEFFREY BRYAN DR,Charlotte-Mecklenburg Police,10-25-2021 10:45 PM
NON-AGGRAVATED ASSAULT,20211025-2007-00,9900 BLOCK JOHN REDFORD RD,Charlotte-Mecklenburg Police,10-25-2021 8:07 PM
FRAUD,20211025-1836-04,9700 BLOCK MALLARD GLEN DR,Charlotte-Mecklenburg Police,10-25-2021 6:36 PM
AUTO THEFT,20211025-1755-04,9800 BLOCK MALLARD GLEN DR,Charlotte-Mecklenburg Police,10-25-2021 5:55 PM
SUSPICIOUS VEHICLE,V1025170801,8700 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-25-2021 5:09 PM
NON-AGGRAVATED ASSAULT,20211025-1655-00,400 BLOCK MICHELLE LINNEA DR,Charlotte-Mecklenburg Police,10-25-2021 4:55 PM
AUTO THEFT,20211025-1448-00,9200 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-25-2021 2:48 PM
LARCENY-OTHER,20211025-1244-00,8300 BLOCK IKEA BV,Charlotte-Mecklenburg Police,10-25-2021 12:44 PM
NON-AGGRAVATED ASSAULT,20211025-0955-03,8200 BLOCK UNIVERSITY EXECUTIVE PARK DR,Charlotte-Mecklenburg Police,10-25-2021 9:55 AM
SUSPICIOUS VEHICLE,V1025090800,2500 BLOCK CAPROCK CT,Charlotte-Mecklenburg Police,10-25-2021 9:08 AM
LARCENY FROM AUTO,20211025-0733-02,9100 BLOCK POST CANYON LN,Charlotte-Mecklenburg Police,10-25-2021 7:33 AM
COMMERCIAL BURGLARY,20211025-0703-03,7900 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-25-2021 7:03 AM
ARMED ROBBERY,20211025-0306-04,8100 BLOCK PIKE RD,Charlotte-Mecklenburg Police,10-25-2021 3:06 AM
LARCENY-SHOPLIFTING,20211024-2244-03,8300 BLOCK IKEA BV,Charlotte-Mecklenburg Police,10-24-2021 10:44 PM
NON-AGGRAVATED ASSAULT,20211024-2215-02,17800 BLOCK HALTON PARK DR,Charlotte-Mecklenburg Police,10-24-2021 10:15 PM
SUSPICIOUS VEHICLE,V1024213501,8500 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-24-2021 9:35 PM
AUTO THEFT,20211024-1811-02,1900 BLOCK DEMBRIGH LN,Charlotte-Mecklenburg Police,10-24-2021 6:11 PM
LARCENY FROM AUTO,20211024-1728-03,8800 BLOCK MEADOW VISTA RD,Charlotte-Mecklenburg Police,10-24-2021 5:28 PM
SUSPICIOUS PERSON,V1024155700,9300 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-24-2021 3:57 PM
LARCENY FROM AUTO,20211024-1145-04,9500 BLOCK PUDDLE DUCK RD,Charlotte-Mecklenburg Police,10-24-2021 11:45 AM
